fileId,fileUrls for custom selected,size
7808456742,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/254/AERDT_L2_VIIRS_SNPP.A2023254.0512.002.2023254174721.nc,13096603
7808456814,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/254/AERDT_L2_VIIRS_SNPP.A2023254.0518.002.2023254174734.nc,10494452
7809169191,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/255/AERDT_L2_VIIRS_SNPP.A2023255.0448.002.2023255170809.nc,14873529
7809176790,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/255/AERDT_L2_VIIRS_SNPP.A2023255.0454.002.2023255172813.nc,11948067
7809176764,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/255/AERDT_L2_VIIRS_SNPP.A2023255.0500.002.2023255172815.nc,11281683
7809204990,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/255/AERDT_L2_VIIRS_SNPP.A2023255.0630.002.2023255191824.nc,15455194
7809204865,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/255/AERDT_L2_VIIRS_SNPP.A2023255.0636.002.2023255191827.nc,11020353
7809237249,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/255/AERDT_L2_VIIRS_SNPP.A2023255.0812.002.2023255203826.nc,12501226
7809779995,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/256/AERDT_L2_VIIRS_SNPP.A2023256.0436.002.2023256170948.nc,11305309
7809827801,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/256/AERDT_L2_VIIRS_SNPP.A2023256.0612.002.2023256191954.nc,16162838
7809827794,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/256/AERDT_L2_VIIRS_SNPP.A2023256.0618.002.2023256192000.nc,11848909
7809897326,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/256/AERDT_L2_VIIRS_SNPP.A2023256.0754.002.2023256204014.nc,12049634
7809888259,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/256/AERDT_L2_VIIRS_SNPP.A2023256.0800.002.2023256203037.nc,10500909
7812643016,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/258/AERDT_L2_VIIRS_SNPP.A2023258.0536.002.2023261202333.nc,14661373
7812643009,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/258/AERDT_L2_VIIRS_SNPP.A2023258.0542.002.2023261202328.nc,10024879
7810716081,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/257/AERDT_L2_VIIRS_SNPP.A2023257.0418.002.2023257210221.nc,10852285
7812883786,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/258/AERDT_L2_VIIRS_SNPP.A2023258.0718.002.2023262144407.nc,13021409
7812883783,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/258/AERDT_L2_VIIRS_SNPP.A2023258.0724.002.2023262144409.nc,9263797
7810713610,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/257/AERDT_L2_VIIRS_SNPP.A2023257.0554.002.2023257210104.nc,15689318
7810713601,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/257/AERDT_L2_VIIRS_SNPP.A2023257.0600.002.2023257210114.nc,9473419
7810713531,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/257/AERDT_L2_VIIRS_SNPP.A2023257.0736.002.2023257210056.nc,13672924
7810713504,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/257/AERDT_L2_VIIRS_SNPP.A2023257.0742.002.2023257210045.nc,9646485
7811696327,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/259/AERDT_L2_VIIRS_SNPP.A2023259.0518.002.2023259174159.nc,13903193
7811700439,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/259/AERDT_L2_VIIRS_SNPP.A2023259.0524.002.2023259175207.nc,11255346
7811739828,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/259/AERDT_L2_VIIRS_SNPP.A2023259.0700.002.2023259192159.nc,12136330
7811750647,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/259/AERDT_L2_VIIRS_SNPP.A2023259.0706.002.2023259194156.nc,9638910
7812129717,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/260/AERDT_L2_VIIRS_SNPP.A2023260.0454.002.2023260172239.nc,15272715
7812129718,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/260/AERDT_L2_VIIRS_SNPP.A2023260.0500.002.2023260172236.nc,11862400
7812136157,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/260/AERDT_L2_VIIRS_SNPP.A2023260.0506.002.2023260174230.nc,12395801
7812155034,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/260/AERDT_L2_VIIRS_SNPP.A2023260.0636.002.2023260192226.nc,14400385
7812154976,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/260/AERDT_L2_VIIRS_SNPP.A2023260.0642.002.2023260192229.nc,11348327
7812154916,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/260/AERDT_L2_VIIRS_SNPP.A2023260.0648.002.2023260192228.nc,9009719
7812167142,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/260/AERDT_L2_VIIRS_SNPP.A2023260.0818.002.2023260204236.nc,12226505
7812548454,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/261/AERDT_L2_VIIRS_SNPP.A2023261.0436.002.2023261170316.nc,15368809
7812551738,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/261/AERDT_L2_VIIRS_SNPP.A2023261.0442.002.2023261171319.nc,11675710
7812611782,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/261/AERDT_L2_VIIRS_SNPP.A2023261.0618.002.2023261192326.nc,14699428
7812611779,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/261/AERDT_L2_VIIRS_SNPP.A2023261.0624.002.2023261192327.nc,10933796
7812643033,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/261/AERDT_L2_VIIRS_SNPP.A2023261.0800.002.2023261202338.nc,12494340
7812938628,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/262/AERDT_L2_VIIRS_SNPP.A2023262.0424.002.2023262165404.nc,10320174
7812968402,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/262/AERDT_L2_VIIRS_SNPP.A2023262.0600.002.2023262191422.nc,14843140
7812968398,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/262/AERDT_L2_VIIRS_SNPP.A2023262.0606.002.2023262191426.nc,11650041
7812992528,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/262/AERDT_L2_VIIRS_SNPP.A2023262.0742.002.2023262200414.nc,13394443
7812995023,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/262/AERDT_L2_VIIRS_SNPP.A2023262.0748.002.2023262203415.nc,9255799
7813938038,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/263/AERDT_L2_VIIRS_SNPP.A2023263.0542.002.2023263181227.nc,15507349
7813946746,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/263/AERDT_L2_VIIRS_SNPP.A2023263.0548.002.2023263182213.nc,12273932
7814035200,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/263/AERDT_L2_VIIRS_SNPP.A2023263.0724.002.2023263200512.nc,11254152
7814035290,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/263/AERDT_L2_VIIRS_SNPP.A2023263.0730.002.2023263200512.nc,9523736
7814375470,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/264/AERDT_L2_VIIRS_SNPP.A2023264.0524.002.2023264175512.nc,14818361
7814383494,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/264/AERDT_L2_VIIRS_SNPP.A2023264.0530.002.2023264180518.nc,10996231
7814449733,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/264/AERDT_L2_VIIRS_SNPP.A2023264.0706.002.2023264193530.nc,12127050
7814456836,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/264/AERDT_L2_VIIRS_SNPP.A2023264.0712.002.2023264194524.nc,9544366
7814940948,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/265/AERDT_L2_VIIRS_SNPP.A2023265.0506.002.2023265174656.nc,13989921
7814976983,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/265/AERDT_L2_VIIRS_SNPP.A2023265.0824.002.2023265205646.nc,14532284
7814941402,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/265/AERDT_L2_VIIRS_SNPP.A2023265.0512.002.2023265175708.nc,11367842
7814960724,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/265/AERDT_L2_VIIRS_SNPP.A2023265.0642.002.2023265191656.nc,14963340
7814960728,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/265/AERDT_L2_VIIRS_SNPP.A2023265.0648.002.2023265191652.nc,11466818
7814965458,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/265/AERDT_L2_VIIRS_SNPP.A2023265.0654.002.2023265192633.nc,10101175
7815342566,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/266/AERDT_L2_VIIRS_SNPP.A2023266.0442.002.2023266171903.nc,14781541
